id,user_id,field_name,cat_id,service_raw,price,duration_min,reason,source_payload
30,85752,stock_prices,84,60.15,437.00,5,service_id_not_numeric,"{""tuple"": [437, 5, ""60.15"", 10, 875, """"], ""cat_id"": ""84""}"
31,85889,stock_prices,146,45.15,1312.00,5,service_id_not_numeric,"{""tuple"": [1312, 5, ""45.15"", 72, 2625, """"], ""cat_id"": ""146""}"
32,86039,stock_prices,287,60.15,1187.00,5,service_id_not_numeric,"{""tuple"": [1187, 5, ""60.15"", false, 2375, """"], ""cat_id"": ""287""}"
33,86047,stock_prices,84,60.15,507.00,5,service_id_not_numeric,"{""tuple"": [507, 5, ""60.15"", 5, 1015, """"], ""cat_id"": ""84""}"
34,86054,stock_prices,105,45.15,1062.00,5,service_id_not_numeric,"{""tuple"": [1062, 5, ""45.15"", 129, 2125, """"], ""cat_id"": ""105""}"
35,86155,stock_prices,138,45.15,1687.00,5,service_id_not_numeric,"{""tuple"": [1687, 5, ""45.15"", 519, 3375, """"], ""cat_id"": ""138""}"
36,87360,stock_prices,127,"[900,""105.15"",178,1800,"""",""5""]",0.00,0,service_id_not_numeric,"{""tuple"": [[800, ""60.15"", 176, 1600, """", ""5""], [1000, ""120.15"", 177, 2000, """", ""5""], [900, ""105.15"", 178, 1800, """", ""5""], [1100, ""120.15"", 179, 2200, """", ""5""], [1050, ""120.15"", 180, 2100, """", ""5""], [1200, ""150.15"", 181, 2400, """", ""5""], [1250, ""180.15"", 182, 2500, """", ""5""], [1650, ""180.15"", 183, 3300, """", ""5""], [1000, ""120.15"", 184, 2000, """", ""5""], [1000, ""105.15"", 185, 2000, """", ""5""]], ""cat_id"": ""127""}"
52,110897,stock_prices,252,30.15,2252.00,5,service_id_not_numeric,"{""tuple"": [2252, 5, ""30.15"", 408, 4505, """"], ""cat_id"": ""252""}"
53,110897,stock_prices,252,30.15,3047.00,5,service_id_not_numeric,"{""tuple"": [3047, 5, ""30.15"", 410, 6095, """"], ""cat_id"": ""252""}"
54,110897,stock_prices,252,30.15,3577.00,5,service_id_not_numeric,"{""tuple"": [3577, 5, ""30.15"", 411, 7155, """"], ""cat_id"": ""252""}"
